symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2022-09-28 00:00:00-04:00,105.95,108.73,105.64,107.99,14777362.0,143400.0,107.788672
JPM,2022-09-29 00:00:00-04:00,106.95,107.28,104.398,106.16,14223110.0,140133.0,105.951663
JPM,2022-09-30 00:00:00-04:00,106.06,107.62,104.4,104.5,19401004.0,142685.0,105.298003
JPM,2022-10-03 00:00:00-04:00,105.62,108.36,104.46,107.73,13822403.0,142513.0,107.215969
JPM,2022-10-04 00:00:00-04:00,110.61,112.99,109.86,112.77,18507105.0,171906.0,112.213685
JPM,2022-10-05 00:00:00-04:00,109.75,110.95,108.83,110.39,12012157.0,131882.0,110.147407
JPM,2022-10-06 00:00:00-04:00,109.46,110.19,107.94,108.14,12662066.0,128039.0,108.7027
JPM,2022-10-07 00:00:00-04:00,107.52,107.71,105.265,105.98,13129218.0,135252.0,106.105226
JPM,2022-10-10 00:00:00-04:00,106.73,107.31,104.52,104.99,9880769.0,105136.0,105.559368
JPM,2022-10-11 00:00:00-04:00,104.37,104.54,101.85,101.96,14543024.0,152405.0,102.81493
JPM,2022-10-12 00:00:00-04:00,101.8,104.73,101.28,103.61,15347852.0,128772.0,103.684291
JPM,2022-10-13 00:00:00-04:00,101.98,109.9,101.76,109.37,24294196.0,225187.0,108.001102
JPM,2022-10-14 00:00:00-04:00,111.962,115.24,110.724,111.19,35115957.0,320556.0,112.266889
JPM,2022-10-17 00:00:00-04:00,115.41,117.01,114.32,115.86,24369080.0,214582.0,115.78456
JPM,2022-10-18 00:00:00-04:00,119.66,120.14,116.96,118.84,23629727.0,218918.0,118.703236
JPM,2022-10-19 00:00:00-04:00,117.99,118.83,115.6701,116.51,19906780.0,148314.0,116.850513
JPM,2022-10-20 00:00:00-04:00,117.16,118.71,115.65,116.13,14180761.0,128284.0,116.617338
JPM,2022-10-21 00:00:00-04:00,116.46,122.39,116.33,122.23,23390330.0,193727.0,120.26319
JPM,2022-10-24 00:00:00-04:00,122.07,123.1,121.33,122.38,14093768.0,141421.0,122.248529
JPM,2022-10-25 00:00:00-04:00,121.85,123.2707,120.89,122.7,12522072.0,113410.0,122.638
JPM,2022-10-26 00:00:00-04:00,123.0,125.2,122.88,124.11,13344892.0,123425.0,124.151605
JPM,2022-10-27 00:00:00-04:00,125.2,126.2,124.21,124.6,12091464.0,127120.0,125.028918
JPM,2022-10-28 00:00:00-04:00,125.29,126.28,124.05,126.08,14027215.0,113824.0,125.658225
JPM,2022-10-31 00:00:00-04:00,125.7,127.43,125.59,125.88,16133571.0,124597.0,126.281042
JPM,2022-11-01 00:00:00-04:00,126.87,128.28,126.33,128.15,15061524.0,130682.0,127.625445
JPM,2022-11-02 00:00:00-04:00,127.65,130.36,126.64,126.97,18159574.0,169556.0,127.946736
JPM,2022-11-03 00:00:00-04:00,126.31,128.18,125.91,127.2,13607833.0,144808.0,127.154137
JPM,2022-11-04 00:00:00-04:00,129.49,130.83,128.46,130.68,15870801.0,164458.0,130.007928
JPM,2022-11-07 00:00:00-05:00,131.0,132.29,130.4816,131.37,12011157.0,120866.0,131.228494
JPM,2022-11-08 00:00:00-05:00,131.24,132.06,130.14,131.45,9884053.0,123886.0,131.296881
JPM,2022-11-09 00:00:00-05:00,131.32,131.43,129.22,129.74,9493961.0,105707.0,130.027908
JPM,2022-11-10 00:00:00-05:00,132.63,135.25,132.53,135.08,16351589.0,181996.0,134.269561
JPM,2022-11-11 00:00:00-05:00,135.19,136.17,133.7805,135.3,10700557.0,120902.0,135.309511
JPM,2022-11-14 00:00:00-05:00,134.8,135.73,133.91,133.91,11085604.0,106087.0,134.59567
JPM,2022-11-15 00:00:00-05:00,134.68,135.71,131.6,132.94,14038346.0,133207.0,133.351751
JPM,2022-11-16 00:00:00-05:00,133.0,133.56,132.03,133.12,7893359.0,103128.0,132.922891
JPM,2022-11-17 00:00:00-05:00,132.0,132.89,131.28,132.54,8824558.0,89935.0,132.30456
JPM,2022-11-18 00:00:00-05:00,134.57,134.67,132.28,133.84,9467529.0,97574.0,133.484313
JPM,2022-11-21 00:00:00-05:00,133.74,134.56,132.75,133.05,7800517.0,90382.0,133.304577
JPM,2022-11-22 00:00:00-05:00,134.0,135.27,133.69,135.04,9185670.0,99764.0,134.688728
JPM,2022-11-23 00:00:00-05:00,134.94,136.5,134.86,136.48,7316204.0,99620.0,135.886094
JPM,2022-11-25 00:00:00-05:00,136.48,137.14,136.055,136.74,3220496.0,45027.0,136.654035
JPM,2022-11-28 00:00:00-05:00,136.07,136.71,134.19,134.35,9907551.0,98775.0,134.86639
JPM,2022-11-29 00:00:00-05:00,134.66,136.64,134.41,136.56,7925322.0,95782.0,135.984785
JPM,2022-11-30 00:00:00-05:00,136.09,138.18,133.19,138.18,14761248.0,134870.0,136.547806
JPM,2022-12-01 00:00:00-05:00,138.18,138.66,135.43,136.24,8858472.0,106688.0,136.35921
JPM,2022-12-02 00:00:00-05:00,134.49,135.35,133.34,135.16,8931863.0,112620.0,134.496168
JPM,2022-12-05 00:00:00-05:00,134.24,134.57,130.6,131.37,10154531.0,124694.0,131.756545
JPM,2022-12-06 00:00:00-05:00,133.39,135.11,129.87,131.59,13966691.0,192599.0,131.636938
JPM,2022-12-07 00:00:00-05:00,131.31,133.08,130.33,131.5,11739425.0,122514.0,131.613399
JPM,2022-12-08 00:00:00-05:00,132.33,132.98,131.43,132.88,8907257.0,108302.0,132.40835
JPM,2022-12-09 00:00:00-05:00,132.2,133.76,132.0,132.16,7953093.0,89435.0,132.697674
JPM,2022-12-12 00:00:00-05:00,132.4,134.65,131.6,134.21,8841631.0,86160.0,133.747953
JPM,2022-12-13 00:00:00-05:00,136.885,137.09,133.08,134.08,10025383.0,131323.0,134.365589
JPM,2022-12-14 00:00:00-05:00,133.78,135.71,132.76,133.41,9966115.0,127313.0,134.003642
