series_id,year,period,value,footnote_codes
PCU212---212---               ,2021,M13,257.49,
PCU212---212---               ,2022,M01,286.425,
PCU212---212---               ,2022,M02,287.62,
PCU212---212---               ,2022,M03,298.957,
PCU212---212---               ,2022,M04,317.26,
PCU212---212---               ,2022,M05,315.067,
PCU212---212---               ,2022,M06,326.419,
PCU212---212---               ,2022,M07,324.234,
PCU212---212---               ,2022,M08,323.803,
PCU212---212---               ,2022,M09,325.073,
PCU212---212---               ,2022,M10,323.499,
PCU212---212---               ,2022,M11,325.629,
PCU212---212---               ,2022,M12,314.379,
PCU212---212---               ,2022,M13,314.031,
PCU212---212---               ,2023,M01,334.243,
PCU212---212---               ,2023,M02,329.009,
PCU212---212---               ,2023,M03,328.291,
PCU212---212---               ,2023,M04,330.893,
PCU212---212---               ,2023,M05,326.527,
PCU212---212---               ,2023,M06,326.599,P
PCU212---212---               ,2023,M07,324.256,P
PCU212---212---               ,2023,M08,321.538,P
PCU212---212---               ,2023,M09,323.726,P
PCU2121--2121--               ,1985,M12,100,
PCU2121--2121--               ,1986,M01,100.1,
PCU2121--2121--               ,1986,M02,99.7,
PCU2121--2121--               ,1986,M03,100.3,
PCU2121--2121--               ,1986,M04,99.9,
PCU2121--2121--               ,1986,M05,99.7,
PCU2121--2121--               ,1986,M06,99.6,
PCU2121--2121--               ,1986,M07,99.7,
PCU2121--2121--               ,1986,M08,99.4,
PCU2121--2121--               ,1986,M09,99.2,
PCU2121--2121--               ,1986,M10,99.2,
PCU2121--2121--               ,1986,M11,98.8,
PCU2121--2121--               ,1986,M12,98.7,
PCU2121--2121--               ,1986,M13,99.5,
PCU2121--2121--               ,1987,M01,98.5,
PCU2121--2121--               ,1987,M02,97.9,
PCU2121--2121--               ,1987,M03,97.7,
PCU2121--2121--               ,1987,M04,96,
PCU2121--2121--               ,1987,M05,95.7,
PCU2121--2121--               ,1987,M06,95.5,
PCU2121--2121--               ,1987,M07,95.1,
PCU2121--2121--               ,1987,M08,95,
PCU2121--2121--               ,1987,M09,94.7,
PCU2121--2121--               ,1987,M10,95,
PCU2121--2121--               ,1987,M11,95.6,
PCU2121--2121--               ,1987,M12,95.3,
PCU2121--2121--               ,1987,M13,96,
PCU2121--2121--               ,1988,M01,95.2,
PCU2121--2121--               ,1988,M02,95.5,
PCU2121--2121--               ,1988,M03,95.2,
PCU2121--2121--               ,1988,M04,94.6,
PCU2121--2121--               ,1988,M05,94.4,
PCU2121--2121--               ,1988,M06,94.5,
PCU2121--2121--               ,1988,M07,94.9,
PCU2121--2121--               ,1988,M08,94.1,
PCU2121--2121--               ,1988,M09,94.3,
PCU2121--2121--               ,1988,M10,94.4,
PCU2121--2121--               ,1988,M11,93.9,
PCU2121--2121--               ,1988,M12,93.9,
